Truth	Aided	Unaided
0	0.434894406121741	0.492908317299004
0	0.580716585025545	0.658182838692199
0	0.264190371983132	0.299432758544956
0	0.285159831812567	0.323199495972943
0	0.369021418976968	0.418248025531766
0	0.325554338568706	0.36898253680543
0	0.578840179806762	0.656056125343068
0	0.48614388664735	0.550994360376906
0	0.40480747925787	0.458807863753466
0	0.448713975193648	0.508571385025666
0	0.509362937747806	0.577310779365293
0	0.361339832793397	0.409541733460326
0	0.303124956514601	0.343561126893687
0	0.436957327902435	0.495246428089412
0	0.426239143680516	0.483098462801838
0	0.619941078340831	0.702639788988155
0	0.359260893468746	0.407185468422523
0	0.632883683177414	0.717308907472241
0	0.483750188718219	0.548281348662426
0	0.356856074402385	0.404459852036746
0	0.48746385468196	0.552490409104297
0	0.418684518841899	0.474536068426075
0	0.688575583230352	0.780429978600927
0	0.731602648934676	0.829196755676223
0	0.438943341270566	0.497497371062325
0	0.454683663997484	0.515337416553498
0	0.397604624220004	0.450644164458908
0	0.541460811246037	0.613690435190206
0	0.418128888836809	0.473906318659247
0	0.373953372444296	0.42383789022158
0	0.630212722942488	0.71428164729957
0	0.381451433015566	0.432336174787135
0	0.385844369925308	0.437315119353222
0	0.52240184674791	0.592089048766295
0	0.515287243427691	0.584025373765064
0	0.518189437935402	0.587314714329426
0	0.411693458375326	0.466612416610353
0	0.577924450695743	0.655018240079748
0	0.502753120868876	0.569819228152891
0	0.270129051070573	0.306163643731716
0	0.374335875546485	0.424271418355784
0	0.387825603854031	0.439560645320529
0	0.389205380802167	0.441124481332628
0	0.469476497659925	0.53210358012332
0	0.433613047141453	0.491456027984773
0	0.396720453546257	0.449642047455638
0	0.395314987399752	0.448049095365331
0	0.575665565932402	0.652458025296578
0	0.42321204808069	0.479667559627618
0	0.379131633766459	0.42970691966623
0	0.495755735173574	0.561888407337509
0	0.581851726284108	0.659469405177716
0	0.588572427827879	0.667086632813616
0	0.564886079882254	0.640240580658214
0	0.474745754719367	0.538075743926822
0	0.444064738375644	0.503301950734424
0	0.214824731596863	0.243481855538004
0	0.426267188018257	0.483130248189581
0	0.459794946302579	0.521130532134614
0	0.554471079058019	0.62843624273462
0	0.161724787709371	0.183298501551776
0	0.496833265893928	0.563109678171834
